Fecha,Hora,Radiacion,Temperatura
2019-01-31,03,-1,297.55
2019-01-31,03,-1,297.55
2019-01-31,04,0,297.55
2019-01-31,04,0,297.65
2019-01-31,04,0,297.65
2019-01-31,04,-1,297.65
2019-01-31,04,-1,297.65
2019-01-31,04,-1,297.65
2019-01-31,04,-1,297.65
2019-01-31,04,-1,297.65
2019-01-31,04,-1,297.65
2019-01-31,04,-1,297.65
2019-01-31,04,-1,297.65
2019-01-31,04,0,297.65
2019-01-31,05,0,297.75
2019-01-31,05,0,297.75
2019-01-31,05,0,297.75
2019-01-31,05,0,297.85
2019-01-31,05,-1,297.85
2019-01-31,05,-1,297.85
2019-01-31,05,-1,297.75
2019-01-31,05,-1,297.75
2019-01-31,05,-1,297.75
2019-01-31,05,-1,297.75
2019-01-31,05,-2,297.75
2019-01-31,05,-2,297.65
2019-01-31,06,-2,297.45
2019-01-31,06,-2,297.25
2019-01-31,06,-3,296.95
2019-01-31,06,-2,296.75
2019-01-31,06,-2,296.55
2019-01-31,06,-1,296.45
2019-01-31,06,-1,296.35
2019-01-31,06,0,296.15
2019-01-31,06,0,296.05
2019-01-31,06,1,296.05
2019-01-31,06,3,296.05
2019-01-31,06,4,295.95
2019-01-31,07,3,295.95
2019-01-31,07,3,295.95
2019-01-31,07,4,295.95
2019-01-31,07,4,295.85
2019-01-31,07,7,295.85
2019-01-31,07,11,295.95
2019-01-31,07,12,295.95
2019-01-31,07,15,295.95
2019-01-31,07,14,295.95
2019-01-31,07,15,295.95
2019-01-31,07,25,295.95
2019-01-31,07,31,295.95
2019-01-31,08,27,295.95
2019-01-31,08,34,296.05
2019-01-31,08,39,296.15
2019-01-31,08,50,296.15
2019-01-31,08,53,296.05
2019-01-31,08,44,296.05
2019-01-31,08,49,296.15
2019-01-31,08,42,296.15
2019-01-31,08,44,296.25
2019-01-31,08,40,296.25
2019-01-31,08,59,296.25
2019-01-31,08,59,296.25
2019-01-31,09,56,296.35
2019-01-31,09,46,296.45
2019-01-31,09,63,296.45
2019-01-31,09,56,296.45
2019-01-31,09,54,296.45
2019-01-31,09,71,296.45
2019-01-31,09,98,296.45
2019-01-31,09,72,296.65
2019-01-31,09,73,296.65
2019-01-31,09,95,296.75
2019-01-31,09,87,296.85
2019-01-31,09,128,296.95
2019-01-31,10,106,297.05
2019-01-31,10,108,297.05
2019-01-31,10,80,297.05
2019-01-31,10,81,297.05
2019-01-31,10,72,297.15
2019-01-31,10,98,297.15
2019-01-31,10,77,297.25
2019-01-31,10,96,297.25
2019-01-31,10,178,297.35
2019-01-31,10,122,297.45
2019-01-31,10,97,297.45
2019-01-31,10,54,297.35
2019-01-31,11,92,297.15
2019-01-31,11,165,297.25
2019-01-31,11,120,297.25
2019-01-31,11,115,297.25
2019-01-31,11,131,297.25
2019-01-31,11,156,297.35
2019-01-31,11,209,297.55
2019-01-31,11,160,297.75
2019-01-31,11,116,297.85
2019-01-31,11,116,297.85
2019-01-31,11,260,297.95
2019-01-31,11,294,297.85
2019-01-31,12,211,297.95
2019-01-31,12,242,297.85
2019-01-31,12,268,297.85
2019-01-31,12,194,297.75
2019-01-31,12,141,297.65
2019-01-31,12,191,297.35
2019-01-31,12,237,297.25
2019-01-31,12,306,297.55
2019-01-31,12,365,297.95
2019-01-31,12,418,298.25
2019-01-31,12,371,298.45
2019-01-31,12,311,298.45
2019-01-31,13,204,298.35
2019-01-31,13,197,298.35
2019-01-31,13,219,298.25
2019-01-31,13,261,298.15
2019-01-31,13,274,298.25
2019-01-31,13,292,298.35
2019-01-31,13,275,298.55
2019-01-31,13,329,298.55
2019-01-31,13,366,298.85
2019-01-31,13,320,298.85
2019-01-31,13,245,298.95
2019-01-31,13,218,298.95
2019-01-31,14,213,298.75
2019-01-31,14,278,298.65
2019-01-31,14,270,298.65
2019-01-31,14,212,298.65
2019-01-31,14,194,298.55
2019-01-31,14,267,298.55
2019-01-31,14,308,298.65
2019-01-31,14,227,298.75
2019-01-31,14,210,298.65
2019-01-31,14,209,298.55
2019-01-31,14,332,298.65
2019-01-31,14,384,298.75
2019-01-31,15,279,298.85
2019-01-31,15,244,298.85
2019-01-31,15,212,298.95
2019-01-31,15,175,298.85
2019-01-31,15,128,298.75
2019-01-31,15,120,298.65
2019-01-31,15,104,298.55
2019-01-31,15,97,298.45
2019-01-31,15,99,298.25
2019-01-31,15,125,298.25
2019-01-31,15,102,298.15
2019-01-31,15,101,298.15
2019-01-31,16,68,298.05
2019-01-31,16,64,298.05
2019-01-31,16,85,297.95
2019-01-31,16,81,298.05
2019-01-31,16,55,298.05
2019-01-31,16,48,298.05
2019-01-31,16,46,297.85
2019-01-31,16,50,297.75
2019-01-31,16,64,297.65
2019-01-31,16,71,297.55
2019-01-31,16,54,297.55
2019-01-31,16,49,297.45
2019-01-31,17,52,297.35
2019-01-31,17,50,297.25
2019-01-31,17,45,297.25
2019-01-31,17,40,297.15
2019-01-31,17,36,297.15
2019-01-31,17,35,297.15
2019-01-31,17,32,297.15
2019-01-31,17,34,297.05
2019-01-31,17,35,297.05
2019-01-31,17,28,296.95
2019-01-31,17,22,296.95
2019-01-31,17,18,296.85
2019-01-31,18,14,296.85
2019-01-31,18,10,296.75
2019-01-31,18,7,296.75
2019-01-31,18,5,296.75
2019-01-31,18,2,296.75
2019-01-31,18,1,296.75
2019-01-31,18,0,296.75
2019-01-31,18,0,296.75
2019-01-31,18,0,296.65
2019-01-31,18,-1,296.65
2019-01-31,18,-1,296.65
2019-01-31,18,-1,296.65
2019-01-31,19,-1,296.65
2019-01-31,19,-1,296.65
2019-01-31,19,-1,296.65
2019-01-31,19,-1,296.65
2019-01-31,19,-1,296.65
2019-01-31,19,-1,296.65
2019-01-31,19,-1,296.65
2019-01-31,19,-1,296.65
2019-01-31,19,-1,296.55
2019-01-31,19,-1,296.55
2019-01-31,19,-1,296.55
2019-01-31,19,-1,296.45
2019-01-31,20,-1,296.45
2019-01-31,20,-1,296.45
2019-01-31,20,-1,296.45
2019-01-31,20,-2,296.35
2019-01-31,20,-2,296.25
2019-01-31,20,-1,296.25
2019-01-31,20,-1,296.15
2019-01-31,20,-1,296.15
2019-01-31,20,-1,296.15
2019-01-31,20,-1,296.15
2019-01-31,20,-1,296.15
